birthyr,gender,educ,race,marstat,region,National Economy,Income,Trump Approval,Congress Approval,Supreme Court Approval,Governor Approval,Legislature Approval,Rep Approval,Senator 1 Approval,Senator 2 Approval,Vote 2016,President Vote 2016,Assault Rifle Ban,Abortion-General,Wall,M4A,Repeal ACA,Paris Accord,TPP,Ideology,sexuality,inputstate,EPA CO2 Regulate,Iran Deal,Party
1950,2,6,2,3,1,4,3,4,4,3,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,34,1,2,1
1949,2,6,2,6,2,3,3,4,4,3,4,4,,1,2,1,2,1,1,2,1,1,2,2,2,1,26,1,2,1
1966,2,3,1,3,2,2,3,1,3,2,4,5,3,5,3,1,1,2,2,1,,1,1,1,4,1,27,2,1,4
1970,2,5,1,6,2,4,3,4,3,2,3,3,1,2,2,1,2,1,1,2,1,2,2,2,4,1,27,1,2,1
1971,2,4,1,3,4,1,1,1,2,2,4,4,3,5,3,1,1,2,2,1,2,1,1,1,4,1,8,2,1,3
1957,2,5,3,1,4,3,2,4,4,4,1,2,3,1,1,1,2,1,1,2,1,2,2,2,2,1,53,1,2,1
1973,2,5,1,3,4,4,5,4,4,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,3,1,53,1,2,1
1951,2,3,1,5,1,1,2,1,1,1,3,3,4,4,4,1,1,1,2,1,1,1,1,2,7,1,36,1,1,2
1969,2,5,1,5,4,4,2,1,2,2,2,2,3,3,2,1,1,1,2,2,1,1,2,2,4,1,6,1,1,2
1933,2,2,1,1,4,2,3,1,2,2,4,4,1,4,4,1,1,1,2,1,2,1,1,2,7,1,6,,,
1934,2,5,3,3,4,3,3,4,4,3,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,41,1,2,1
1941,2,3,1,1,4,1,3,1,2,2,4,4,3,3,3,1,1,1,2,1,2,1,1,1,6,1,6,2,1,2
1941,2,3,1,4,4,2,3,1,2,2,4,3,3,4,4,1,1,1,2,1,2,2,1,1,6,1,6,2,1,2
1953,2,4,1,1,2,1,2,1,2,2,2,2,1,1,4,1,1,2,2,1,2,1,1,1,7,1,55,2,1,4
1947,2,2,1,1,4,3,2,4,4,5,3,3,2,3,2,1,3,1,2,2,1,2,2,2,5,6,6,1,2,3
1972,2,3,1,5,4,3,3,1,3,3,4,3,4,4,4,1,1,1,1,1,2,1,1,1,7,1,6,2,2,2
1943,2,3,1,3,4,2,3,1,2,2,4,3,5,4,4,1,1,1,2,1,2,1,1,1,5,1,6,1,1,2
1945,2,3,1,3,4,1,2,1,3,4,4,4,2,4,4,1,1,2,2,1,2,1,1,1,7,1,6,2,1,2
1956,2,3,1,1,4,1,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,1,1,1,7,1,6,2,1,2
1964,2,3,1,3,4,2,1,2,3,2,4,4,4,4,4,1,1,1,2,1,1,1,1,2,6,1,6,2,1,2
1956,2,5,1,3,2,5,5,4,4,1,4,3,5,3,2,1,3,1,1,2,1,1,2,1,4,1,39,2,2,3
1962,2,3,1,1,2,1,2,1,3,2,1,5,4,2,4,1,1,2,2,1,2,1,1,1,6,1,55,2,1,2
1933,2,3,1,3,4,1,3,1,4,2,4,4,5,4,4,1,1,1,1,1,2,1,1,1,6,1,6,2,1,2
1960,2,5,6,1,2,5,3,4,4,5,2,5,4,3,3,1,2,1,1,2,1,2,2,2,2,1,39,1,2,3
1933,2,6,1,4,2,4,4,4,4,4,1,2,3,2,1,1,2,1,1,2,1,2,2,2,2,1,27,1,2,1
1935,2,2,1,4,4,1,2,1,3,1,4,4,4,4,4,1,1,2,2,1,2,1,1,1,7,1,6,2,1,2
1955,2,3,1,1,4,1,2,1,2,1,4,4,4,4,4,1,1,2,2,1,2,1,1,1,6,1,6,2,1,3
1948,2,3,1,1,4,1,2,1,2,2,4,4,2,4,4,1,1,1,1,1,2,1,1,1,6,1,6,2,1,2
1943,2,6,2,3,2,5,3,4,4,4,4,4,4,2,2,1,2,1,1,2,1,2,2,2,1,1,26,1,2,4
1967,2,4,6,1,4,2,2,2,4,2,4,4,3,4,4,1,2,1,2,1,1,1,1,1,5,1,6,2,1,3
1938,2,5,1,4,4,3,3,4,3,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,41,1,2,1
1961,2,3,1,3,4,1,2,1,2,1,4,4,3,3,3,1,1,2,1,1,2,1,1,1,6,1,6,1,1,2
1980,2,5,3,1,3,4,4,4,4,4,3,5,5,5,5,1,2,1,1,2,1,2,2,2,1,1,13,1,1,1
1935,2,5,3,1,4,1,2,1,3,1,4,4,2,4,4,1,1,2,2,1,2,1,1,1,7,1,6,2,1,2
